Month,Passengers
1953-04,235
1956-02,277
1951-06,178
1960-01,417
1952-01,171
1953-08,272
1958-07,491
1959-11,362
1950-12,140
1960-04,461
1956-03,317
1955-04,269
1959-05,420
1955-09,312
1953-01,196
1956-08,405
1951-08,199
1952-11,172
1950-02,126
1951-10,162
1950-11,114
1956-06,374
1953-07,264
1954-07,302
1949-12,118
1960-08,606
1955-07,364
1954-08,293
1955-12,278
1954-09,259
1954-12,229
1956-09,355
1958-09,404
1956-04,313
1951-05,172
1959-12,405
1955-05,270
1955-10,274
1950-09,158
1949-10,119
1953-03,236
1957-06,422
1958-05,363
1956-05,318
1958-01,340
1955-06,315
1954-10,229
1951-03,178
1952-09,209
1952-04,181
1960-09,508
1955-11,237
1951-09,184
1957-08,467
1957-11,305
1957-04,348
1950-05,125
1949-02,118
1955-08,347
1957-07,465
1955-03,267
1960-12,432
1957-03,356
1953-10,211
1956-12,306
1960-06,535
1949-11,104
1953-05,229
1949-09,136
1958-12,337
1953-02,196
1950-10,133
1952-07,230
1957-12,336
1950-04,135
1950-06,149
1960-02,391
1950-03,141
1959-10,407
1960-10,461
1952-05,183
1960-11,390
1958-08,505
1957-10,347
1950-08,170
1959-07,548
1957-01,315
1955-01,242
1951-02,150
1956-07,413
1952-03,193
1952-10,191
1960-05,472
1952-06,218
1958-11,310
1951-11,146
1952-08,242
1954-11,203
1955-02,233
1954-04,227
1951-12,166
1953-11,180
1952-12,194
1959-03,406
1957-05,355
1959-08,559
1959-01,360
1949-07,148
